title,genre,publ_place,publ_year
Tégy jót,regény,Budapest,1895
Magyar nemzeti vértanúk,,Budapest,1895
A Barangok vagy A paeoniai vojvoda,Vígjáték,Budapest,1896
De kár megvénülni,regény,Budapest,1896
Kertészgazdászati jegyzetek,,Budapest,1896
Budapestnek emlékül,Versek,Budapest,1896
Megtörtént regék,beszéd,Budapest,1897
Ne hagyd magad! És egyéb elbeszélések,elbeszélés,Budapest,1897
Az apja fia. És egyéb elbeszélések,elbeszélés,Budapest,1897
Őszi fény. Újabb elbeszélések,elbeszélés,Budapest,1898
Mesék és regék,,Budapest,1898
A barátfalvi lévita,,Budapest,1898
Levente,Történelmi drámai költemény,Budapest,1898
Költemények,Versek,Budapest,1898
Emlékbeszéd Rudolf trónörökösről és egyéb beszédek,beszéd,Budapest,1898
Helvila,dráma,Budapest,1898
A nagyenyedi két fűzfa,elbeszélés,Budapest,1898
A hazajáró lélek,,Budapest,1898
Mátyás király és a szegény varga,,Budapest,1898
A tengerszem tündére,Rege,Budapest,1898
Thonuzoba pogány vezér hősi halála,,Budapest,1898
A peregrinus,,Budapest,1898
Szép angyalka. Kis képek,novella,Budapest,1899
Öreg ember nem vén ember. Képzelt regény négy részben,regény,,1900
Tallérossy Zebulon levelei Mindenváró Ádámhoz,,Budapest,1900
Egetvívó asszonyszív,történelmi regény,Budapest,1902
A börtön virága,regény,,1904
Aranyember,,Budapest,1919
