szerzo,count
GAUTHIER F. E.,1
GELLÉRI Andor Endre,80
GELLÉRT Oszkár,45
GELLÉRT Sándor,2
GERA György,3
GEREBLYÉS László,19
GERELY Jolán,1
GERELYES Endre,14
GERENCSÉR Miklós,4
GERGEI Albert,1
GERGELY Ágnes,6
GERGELY Márta,19
GERGELY Mihály,1
GERGELY Miklós,4
GERGELY Sándor,94
GERMANUS Gyula,1
GERŐ Attila,2
GERŐ János,2
GERŐ Katalin,1
"GIGANTE, Silvino",4
GISELA,1
GISZKALAY János,1
GODA Gábor,67
GÖMÖRI Berta,1
GÖMÖRI György,1
GÖMÖRI László,1
GONDA Erzsébet,1
GÖNDÖCZ Judit,2
GÖRGEY Gábor,5
GÖRGEY István,1
GOTH Sándor,1
GOZSDU Elek,3
GRAGGER Róbert,2
GREGUSS Ágost,16
GULÁCSY Irén (Pálffyné),8
GULYÁS Pál,19
GUTAI Magda,5
GVADÁNYI József,4
GYAGYOVSZKY Emil,4
GYALLAY Domokos,2
GYALUI Farkas,4
GYÁRFÁS Endre,1
GYÁRFÁS Miklós,16
GYARMATHY Erzsébet,1
GYARMATI Erzsébet,2
GYARMATI Ferenc,1
GYÖKÖSSY Endre,1
GYOMAI Imre,2
GYÖNGYÖSI István,11
GYÖNGYÖSY Nándor,1
GYÓNI Géza,65
GYÖRE Imre,16
GYÖRFFY Gyula,2
GYÖRGY István,2
GYÖRGY Máté,1
GYÖRGY Oszkár,1
GYŐRI Dezső,4
GYŐRI Ernő,2
GYŐRI György,1
GYŐRI Imre,1
GYŐRI M.,3
GYŐRI Vilmos,10
GYÖRKÉNYI I.,1
GYŐRY Dezső,6
GYULAI Pál,107
GYURÁTZ Ferenc,2
GYURKÓ László,3
GYURKOVICS Tibor,2
HADIK Etelka,1
HAJAS Tibor,4
HAJNAL Anna,27
HAJNAL Gábor,10
HAJNAL László,1
HAJNIK Miklós,1
HALASI Mária,12
HALÁSZ Imre,1
HALLAMA Erzsébet,1
HALLÓSSY Mártha,1
HALMOS Ferenc,1
HALMOS Pál,1
HAMBURGER Jenő,2
HÁMORI László,1
HÁMORI Ottó,2
HÁMOS György,1
HAMVAS József,1
HAPŠUDA Ignác,1
HÁRAI Ferenc,1
HARANGINÉ Juhász Antónia,1
HARLEZ C. de,1
HÁRS György,2
HÁRS László,4
HARSÁNYI Gréte,1
HARSÁNYI Kálmán,7
HARSÁNYI Lajos,8
HARSÁNYI Zsolt,100
HATÁR Győző,4
HATVANY Lajos,12
HATVANY Lilly,2
HAVAS István,5
HÁY Gyula,59
HEGEDÜS Ádám,7
HEGEDŰS Géza,13
HEGEDÜS Roland,1
HEGEDÜS Sándor,9
"HEGEDÜS Sándor, ifj.",1
HEGEDÜS Zoltán,2
HEGYI Endre,2
HELFY Ignác,1
HELTAI Gáspár,4
Heltai Jenő,1
HELTAI Jenő,181
HELVEY Lajos,3
HERCEG János,25
