region1,region2,ratio,common_authors
USSR-kirgiz,Cuba,0.3333333333333333,2
Cuba,USSR-komi,0,0
USSR-komi,Cuba,0,0
Cuba,USSR-lett,1,5
USSR-lett,Cuba,0.17857142857142858,5
Cuba,USSR-litván,0.6,3
USSR-litván,Cuba,0.0967741935483871,3
Cuba,USSR-liv,0,0
USSR-liv,Cuba,0,0
Cuba,USSR-moldva,0.2,1
USSR-moldva,Cuba,0.07692307692307693,1
Cuba,USSR-orosz,1,5
USSR-orosz,Cuba,0.03184713375796178,5
Cuba,USSR-tadzsik,0.4,2
USSR-tadzsik,Cuba,0.2857142857142857,2
Cuba,USSR-tatár,0,0
USSR-tatár,Cuba,0,0
Cuba,USSR-türkmén,0.4,2
USSR-türkmén,Cuba,0.3333333333333333,2
Cuba,USSR-udmurt,0.2,1
USSR-udmurt,Cuba,0.5,1
Cuba,USSR-ujgur,0.2,1
USSR-ujgur,Cuba,1,1
Cuba,USSR-ukrán,1,5
USSR-ukrán,Cuba,0.10638297872340426,5
Cuba,"USSR-ukrán, orosz",0.2,1
"USSR-ukrán, orosz",Cuba,1,1
Cuba,USSR-észt,0.6,3
USSR-észt,Cuba,0.09090909090909091,3
Cuba,USSR-örmény,0.4,2
USSR-örmény,Cuba,0.13333333333333333,2
Cuba,USSR-üzbég,0.2,1
USSR-üzbég,Cuba,0.14285714285714285,1
Cuba,Vietnam,0.4,2
Vietnam,Cuba,0.5,2
Czechoslovakia-cseh,Albania,0.03333333333333333,5
Albania,Czechoslovakia-cseh,0.8333333333333334,5
Czechoslovakia-cseh,Bulgaria,0.29333333333333333,44
Bulgaria,Czechoslovakia-cseh,0.6197183098591549,44
Czechoslovakia-cseh,China,0.11333333333333333,17
China,Czechoslovakia-cseh,0.5666666666666667,17
Czechoslovakia-cseh,Cuba,0.03333333333333333,5
Cuba,Czechoslovakia-cseh,1,5
Czechoslovakia-cseh,Czechoslovakia-cseh,NA,NA
Czechoslovakia-cseh,Czechoslovakia-szlovák,0.52,78
Czechoslovakia-szlovák,Czechoslovakia-cseh,0.4727272727272727,78
Czechoslovakia-cseh,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,Czechoslovakia-cseh,0,0
Czechoslovakia-cseh,GDR,0.58,87
GDR,Czechoslovakia-cseh,0.5178571428571429,87
Czechoslovakia-cseh,Hungary,0.37333333333333335,56
Hungary,Czechoslovakia-cseh,0.38095238095238093,56
Czechoslovakia-cseh,Mongolia,0.02666666666666667,4
Mongolia,Czechoslovakia-cseh,0.8,4
Czechoslovakia-cseh,North Korea,0.006666666666666667,1
North Korea,Czechoslovakia-cseh,1,1
Czechoslovakia-cseh,Poland,0.52,78
Poland,Czechoslovakia-cseh,0.5492957746478874,78
Czechoslovakia-cseh,Romania,0.4,60
Romania,Czechoslovakia-cseh,0.42857142857142855,60
Czechoslovakia-cseh,USSR-altaji,0.006666666666666667,1
USSR-altaji,Czechoslovakia-cseh,1,1
Czechoslovakia-cseh,USSR-azerbajdzsán,0.05333333333333334,8
USSR-azerbajdzsán,Czechoslovakia-cseh,0.6666666666666666,8
Czechoslovakia-cseh,USSR-baskir,0.006666666666666667,1
USSR-baskir,Czechoslovakia-cseh,1,1
Czechoslovakia-cseh,USSR-csuvas,0.013333333333333334,2
USSR-csuvas,Czechoslovakia-cseh,1,2
Czechoslovakia-cseh,USSR-fehérorosz,0.04,6
USSR-fehérorosz,Czechoslovakia-cseh,0.6666666666666666,6
Czechoslovakia-cseh,USSR-finn,0.006666666666666667,1
USSR-finn,Czechoslovakia-cseh,1,1
Czechoslovakia-cseh,USSR-grúz,0.10666666666666667,16
USSR-grúz,Czechoslovakia-cseh,0.6666666666666666,16
Czechoslovakia-cseh,USSR-kazah,0.05333333333333334,8
USSR-kazah,Czechoslovakia-cseh,0.8,8
Czechoslovakia-cseh,USSR-kirgiz,0.04,6
USSR-kirgiz,Czechoslovakia-cseh,1,6
Czechoslovakia-cseh,USSR-komi,0,0
USSR-komi,Czechoslovakia-cseh,0,0
Czechoslovakia-cseh,USSR-lett,0.14666666666666667,22
USSR-lett,Czechoslovakia-cseh,0.7857142857142857,22
Czechoslovakia-cseh,USSR-litván,0.12666666666666668,19
