szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
BENICZKYNÉ BAJZA Lenke,16,https://www.wikidata.org/wiki/Q792910,NA,NA,nő,1839-02-07,Pest,19.1,47.5,1905-01-01,Budapest,19.040833333,47.498333333,20466121,117768537
BENJÁMIN Ferenc,5,https://www.wikidata.org/wiki/Q88795940,NA,NA,férfi,1888-03-07,Debrecen,21.639166666,47.53,1968-11-08,London,-0.1275,51.507222222,121408831,NA
BENJÁMIN László,203,https://www.wikidata.org/wiki/Q792954,NA,NA,férfi,1915-12-05,Budapest,19.040833333,47.498333333,1986-08-18,Budapest,19.040833333,47.498333333,48127824,NA
BENŐFI Sámuel,2,https://www.wikidata.org/wiki/Q793165,NA,Benőfy Soma,férfi,1821-01-01,NA,NA,NA,1887-10-07,NA,NA,NA,4764152744531428e6,NA
BEÖTHY László,1,https://www.wikidata.org/wiki/Q794452,NA,NA,férfi,1826-05-01,Komárom,18.128333333,47.763333333,1857-05-20,Pest,19.1,47.5,121409411,129637971
BEÖTHY Zsigmond,3,https://www.wikidata.org/wiki/Q794460,NA,NA,férfi,1819-02-17,Komárom,18.128333333,47.763333333,1896-01-29,Komárom,18.128333333,47.763333333,53675867,NA
BEÖTHY Zsolt,4,https://www.wikidata.org/wiki/Q794461,NA,NA,férfi,1848-09-04,Buda,19.05,47.466666666,1922-04-18,Budapest,19.040833333,47.498333333,73093732,107231875X
BERCZELLI A. Károly,1,https://www.wikidata.org/wiki/Q793220,NA,NA,férfi,1904-07-07,Szeged,20.166666666,46.25,1982-01-03,Budapest,19.040833333,47.498333333,88064718,127309012
BERCZIK Árpád,13,https://www.wikidata.org/wiki/Q645997,NA,NA,férfi,1842-07-08,Temesvár,21.23,45.759722222,1919-07-16,Budapest,19.040833333,47.498333333,10943323,130103829
BÉRCZY Károly,4,https://www.wikidata.org/wiki/Q854527,NA,NA,férfi,1821-03-02,Balassagyarmat,19.293722222,48.071194444,1867-12-11,Pest,19.1,47.5,2191181,1022356003
BERDA József,19,https://www.wikidata.org/wiki/Q793229,NA,NA,férfi,1902-02-01,Budapest,19.040833333,47.498333333,1966-07-05,Budapest,19.040833333,47.498333333,3619998,NA
BERDE Mária,9,https://www.wikidata.org/wiki/Q793231,NA,NA,nő,1889-02-05,Kackó,23.766666666,47.25,1949-02-20,Kolozsvár,23.559444444,46.78,34816228,NA
BERECZ Károly,2,https://www.wikidata.org/wiki/Q12813761,NA,NA,férfi,1821-10-12,Rimaszombat,20.019963888,48.381430555,1901-12-26,Miskolc,20.783333333,48.1,121409964,NA
BEREMÉNYI Géza,2,https://www.wikidata.org/wiki/Q362746,NA,NA,NA,1946-01-25,Budapest,NA,NA,NA,NA,NA,NA,NA,NA
