author,region1,region2
VASZARY Gábor,Austria,Denmark
ZILAHY Lajos,Austria,Denmark
ESTERHÁZY Péter,Austria,Denmark
ÖRKÉNY István,Austria,Egypt
VASZARY Gábor,Austria,Egypt
PETŐFI Sándor,Austria,Egypt
BALÁZS Béla,Austria,Federal Republic of Germany
DÉRY Tibor,Austria,Federal Republic of Germany
FEKETE István,Austria,Federal Republic of Germany
HARSÁNYI Zsolt,Austria,Federal Republic of Germany
KOMÁROMI János,Austria,Federal Republic of Germany
MÁRAI Sándor,Austria,Federal Republic of Germany
MIKSZÁTH Kálmán,Austria,Federal Republic of Germany
ÖRKÉNY István,Austria,Federal Republic of Germany
VASZARY Gábor,Austria,Federal Republic of Germany
ZILAHY Lajos,Austria,Federal Republic of Germany
PASSUTH László,Austria,Federal Republic of Germany
GÁRDONYI Géza,Austria,Federal Republic of Germany
KÖRMENDI Ferenc,Austria,Federal Republic of Germany
KRÚDY Gyula,Austria,Federal Republic of Germany
FEJES Endre,Austria,Federal Republic of Germany
SZÁSZ Imre,Austria,Federal Republic of Germany
ILLYÉS Gyula,Austria,Federal Republic of Germany
MOLNÁR Ferenc,Austria,Federal Republic of Germany
ADY Endre,Austria,Federal Republic of Germany
ESTERHÁZY Péter,Austria,Federal Republic of Germany
BALÁZS Béla,Austria,Finland
DÉRY Tibor,Austria,Finland
HARSÁNYI Zsolt,Austria,Finland
ÖRKÉNY István,Austria,Finland
ZILAHY Lajos,Austria,Finland
GÁRDONYI Géza,Austria,Finland
FEJES Endre,Austria,Finland
SZÁSZ Imre,Austria,Finland
ILLYÉS Gyula,Austria,Finland
PETŐFI Sándor,Austria,Finland
PILINSZKY János,Austria,Finland
MOLNÁR Ferenc,Austria,Finland
ADY Endre,Austria,Finland
DÉRY Tibor,Austria,France
HARSÁNYI Zsolt,Austria,France
HÁY Gyula,Austria,France
MÁRAI Sándor,Austria,France
ÖRKÉNY István,Austria,France
ZILAHY Lajos,Austria,France
PASSUTH László,Austria,France
KÖRMENDI Ferenc,Austria,France
KRÚDY Gyula,Austria,France
FEJES Endre,Austria,France
ILLYÉS Gyula,Austria,France
PETŐFI Sándor,Austria,France
PILINSZKY János,Austria,France
MOLNÁR Ferenc,Austria,France
ADY Endre,Austria,France
ESTERHÁZY Péter,Austria,France
BÓKA László,Austria,GDR
DÉRY Tibor,Austria,GDR
FEKETE István,Austria,GDR
HÁY Gyula,Austria,GDR
ILLÉS Béla,Austria,GDR
MIKSZÁTH Kálmán,Austria,GDR
ÖRKÉNY István,Austria,GDR
SZABÓ Pál,Austria,GDR
PASSUTH László,Austria,GDR
GÁRDONYI Géza,Austria,GDR
KRÚDY Gyula,Austria,GDR
FEJES Endre,Austria,GDR
ILLYÉS Gyula,Austria,GDR
PETŐFI Sándor,Austria,GDR
MOLNÁR Ferenc,Austria,GDR
ADY Endre,Austria,GDR
GÁRDONYI Géza,Austria,Greece
FEKETE István,Austria,Hungary
ILLÉS Béla,Austria,Hungary
MIKSZÁTH Kálmán,Austria,Hungary
GÁRDONYI Géza,Austria,Hungary
KRÚDY Gyula,Austria,Hungary
ILLYÉS Gyula,Austria,Hungary
PETŐFI Sándor,Austria,Hungary
PILINSZKY János,Austria,Hungary
MOLNÁR Ferenc,Austria,Hungary
ADY Endre,Austria,Hungary
PETŐFI Sándor,Austria,India
ADY Endre,Austria,India
PETŐFI Sándor,Austria,Iran
HARSÁNYI Zsolt,Austria,Israel
ILLÉS Béla,Austria,Israel
GÁRDONYI Géza,Austria,Israel
PETŐFI Sándor,Austria,Israel
MOLNÁR Ferenc,Austria,Israel
ADY Endre,Austria,Israel
DÉRY Tibor,Austria,Italy
HARSÁNYI Zsolt,Austria,Italy
HÁY Gyula,Austria,Italy
MÁRAI Sándor,Austria,Italy
MIKSZÁTH Kálmán,Austria,Italy
ÖRKÉNY István,Austria,Italy
ZILAHY Lajos,Austria,Italy
GÁRDONYI Géza,Austria,Italy
KÖRMENDI Ferenc,Austria,Italy
FEJES Endre,Austria,Italy
ILLYÉS Gyula,Austria,Italy
PETŐFI Sándor,Austria,Italy
MOLNÁR Ferenc,Austria,Italy
ADY Endre,Austria,Italy
ESTERHÁZY Péter,Austria,Italy
HARSÁNYI Zsolt,Austria,Japan
ÖRKÉNY István,Austria,Japan
ZILAHY Lajos,Austria,Japan
ILLYÉS Gyula,Austria,Japan
PETŐFI Sándor,Austria,Japan
MOLNÁR Ferenc,Austria,Japan
MOLNÁR Ferenc,Austria,Liechtenstein
DÉRY Tibor,Austria,Mexico
PASSUTH László,Austria,Mexico
PETŐFI Sándor,Austria,Mongolia
DÉRY Tibor,Austria,Netherlands
HARSÁNYI Zsolt,Austria,Netherlands
ILLÉS Béla,Austria,Netherlands
MIKSZÁTH Kálmán,Austria,Netherlands
VASZARY Gábor,Austria,Netherlands
PASSUTH László,Austria,Netherlands
KÖRMENDI Ferenc,Austria,Netherlands
ILLYÉS Gyula,Austria,Netherlands
PILINSZKY János,Austria,Netherlands
PETŐFI Sándor,Austria,North Korea
DÉRY Tibor,Austria,Norway
HARSÁNYI Zsolt,Austria,Norway
ÖRKÉNY István,Austria,Norway
ZILAHY Lajos,Austria,Norway
ILLYÉS Gyula,Austria,Norway
PETŐFI Sándor,Austria,Norway
DÉRY Tibor,Austria,Poland
FEKETE István,Austria,Poland
HÁY Gyula,Austria,Poland
ILLÉS Béla,Austria,Poland
KOVAI Lőrinc,Austria,Poland
MIKSZÁTH Kálmán,Austria,Poland
ÖRKÉNY István,Austria,Poland
PASSUTH László,Austria,Poland
GÁRDONYI Géza,Austria,Poland
FEJES Endre,Austria,Poland
SZÁNTÓ György,Austria,Poland
G. SZABÓ Judit,Austria,Poland
SZÁSZ Imre,Austria,Poland
ILLYÉS Gyula,Austria,Poland
PETŐFI Sándor,Austria,Poland
MOLNÁR Ferenc,Austria,Poland
ADY Endre,Austria,Poland
DÉRY Tibor,Austria,Portugal
ÖRKÉNY István,Austria,Portugal
DÉRY Tibor,Austria,Romania
ILLÉS Béla,Austria,Romania
MIKSZÁTH Kálmán,Austria,Romania
ÖRKÉNY István,Austria,Romania
PASSUTH László,Austria,Romania
GÁRDONYI Géza,Austria,Romania
KRÚDY Gyula,Austria,Romania
FEJES Endre,Austria,Romania
SZÁNTÓ György,Austria,Romania
ILLYÉS Gyula,Austria,Romania
PETŐFI Sándor,Austria,Romania
MIKES Kelemen,Austria,Romania
MOLNÁR Ferenc,Austria,Romania
ADY Endre,Austria,Romania
VASZARY Gábor,Austria,South Korea
DÉRY Tibor,Austria,Spain
HARSÁNYI Zsolt,Austria,Spain
MÁRAI Sándor,Austria,Spain
MIKSZÁTH Kálmán,Austria,Spain
ÖRKÉNY István,Austria,Spain
VASZARY Gábor,Austria,Spain
ZILAHY Lajos,Austria,Spain
PASSUTH László,Austria,Spain
KÖRMENDI Ferenc,Austria,Spain
FEJES Endre,Austria,Spain
PETŐFI Sándor,Austria,Spain
MOLNÁR Ferenc,Austria,Spain
ADY Endre,Austria,Spain
DÉRY Tibor,Austria,Sweden
HARSÁNYI Zsolt,Austria,Sweden
ÖRKÉNY István,Austria,Sweden
ZILAHY Lajos,Austria,Sweden
ILLYÉS Gyula,Austria,Sweden
PETŐFI Sándor,Austria,Sweden
PILINSZKY János,Austria,Sweden
MOLNÁR Ferenc,Austria,Sweden
ADY Endre,Austria,Sweden
ESTERHÁZY Péter,Austria,Sweden
BALÁZS Béla,Austria,Switzerland
