id,author,translator,target_title,target_lang,country,year,place,publisher,pagination,orig_lang,editionstat,orig_title,interm_title,isbn,interm_lang,auth_quality,transl_quality
1775,"Petik Ferenc",,"Error propagation and traceability of hardness measurements: introductory paper",English,Hungary,1981,Budapest,MTESZ,"18 p.",Hungarian,,,,,,,
1776,"Seregély György","Soós Feodóra",Contraception,English,Hungary,1981,Budapest,Medicina,"315 p. ill.",Hungarian,,Fogamzásgátlás,,,,,
1777,"Tatay Sándor","Šaturová-Seppová Magda","Pušky a holuby",Slovak,"Czechoslovakia (to 1992)",1980,Bratislava,"Mladé letá","173 p.",Hungarian,,"Puskák és galambok",,,,,
1778,"Vargha Gyula","Kerner Nóra","Pharmacoangiography in the diagnosis of tumours",English,Hungary,1981,Budapest,"Akadémiai Kiadó","252 p. ill.",Hungarian,,,,,,,
1779,"Venesz József","Szabó Gabriella","Hungarian cuisine",English,Hungary,1981,Budapest,Corvina,"340, 12 p. ill.",Hungarian,"4e éd.","A magyaros konyha",,,,,
1780,"Turián György","Obuch Ladislav","Čarovná palička",Slovak,"Czechoslovakia (to 1992)",1980,Bratislava,LITA,"49 p.",Hungarian,,Varázspálca,,,,,
1781,"Balogh Jenő","Lamberger Ilona","Ispol'zovanie geotermal'noj energii v sel'skom hozâjstve",Russian,Hungary,1981,Budapest,Agroinform,"10, 86 p.",Hungarian,,"A geotermikus energia hasznosítása a mezőgazdaságban",,,,,
1782,"Bernhardt László",,"Gerichte und Geschmäcke aus dem Komitat Pest",German,Hungary,1981,Budapest,"Közgazdasági és Jogi Kiadó","128 p. ill.",Hungarian,,"Ételek, ízek Pest megyéből",,,,,
1783,,"Nawrocki Aleksander","Koń siedmionogi: bajki węgierskie",Polish,Poland,1980,Warszawa,"Ludowa Spółdzielnia Wydawnicza","185 p. ill.",Hungarian,,"Magyar népmesek",,,,,
1784,"Országos Magyar Bányászati és Kohászati Egyesület",,"Itinerary Congress, 17, Pécs, 1979",English,Hungary,1979,Budapest,OMBKE,"346 p. ill.",Hungarian,,"Kőolaj - Földgáz- és Vizsszakosztály. Vándorgyülés, 17",,,,,
1785,"Országos Magyar Bányászati és Kohászati Egyesület",,"Vengerskoe gornoe i metallurgičeskoe obščestvo: Vyezdnaja sessija, 17, Peč, 1979",Russian,Hungary,1979,Budapest,OMBKE,"336 p. ill.",Hungarian,,"Kőolaj, Földgáz- és Vizszakosztály. Vándorgyülés, 17",,,,,
1786,"Kádár János","Rossová Anna","Vybrané projevy a články 1972-1978",Czech,"Czechoslovakia (to 1992)",1980,Praha,Svoboda,"385 p.",Hungarian,,"A szocializmusért-a békéért Beszédek és cikkek 1972-1978",,,,,
1787,,,"Vengerskij kodeks po reklamnoj etike",Russian,Hungary,1981,Budapest,"Sojuz vengerskoj reklamy","iii, 40 p.",Hungarian,,"Magyar reklámetikai kódex",,,,,
1788,"Primenenie preparata: Kabinton v medicinskoj praktike",,Doklady,Russian,Hungary,1980,Budapest,Medicina,"105 p.",Hungarian,,,,,,"Simpozium, Moscow, 1979",
1789,,,"Ispol'zovanie novyh principov izmerenija v agrohimičeskih issledovanijah i razvitie sootvetstvujuščih metodov analiza",Russian,Hungary,1981,Budapest,"M. Tudományos Akadémia","184 p.",Hungarian,,,,,,,
1790,"Drobni József",,"Schneckengetriebe-Forschungen an der TU für Schwerindustrie",German,Hungary,1981,Miskolc,"Nehézipari Műszaki Egyetem","14 p.",Hungarian,,,,,,,
1791,,,"Ungarischer Kodex der ethischen Werbung",German,Hungary,1981,Budapest,"Ungerischer Werbeverband","iii, 42 p.",Hungarian,,"Magyar reklámetikai kódex",,,,,
1792,"Colloquium on Refrigeration",,"Report; Vorträge","English; German",Hungary,1981,Budapest,"Gépipari Tudományos Egyesület","432 p. ill.",Hungarian,,"Hűtőtechnikai kollokvium, 5",,,,"5., Budapest, 1981",
1793,"Feuer-Tóth Rózsa","Gottschlig Ferenc","Renaissancebaukunst in Ungarn",German,Hungary,1981,"Budapest; Budapest","Corvina; M. Helikon","241 p. ill.",Hungarian,,"Reneszánsz építészet Magyarországon",,,,,
1794,,"Hulvej János","Exploitable technico-intellectual products",English,Hungary,1981,Budapest,"Közgazdasági és Jogi Kiadó","242 p. ill.",Hungarian,,,,,,,
1795,"Hungaro-Indian Seminar on Salt Effected Soils",,Proceedings,English,Hungary,1981,Budapest,"Akadémiai Kiadó","256 p. ill.",Hungarian,,,,,,"2., Budapest, 1981",
1796,Donaukommission,,"Information sur l'entretien du chenal navigable du Danube de Regensburg à Sulina du 1 avril 1979 au 31 mars 1980",French,Hungary,1981,Budapest,Donaukommission,"130 p. ill.",Hungarian,,,,,,Budapest,
1797,Donaukommission,,"Informacija  o soderžanii sudohodnogo farvatera reki Dunaj ot Regensburga do Suliny s l aprelja 1979 g. po 31 marta 1980 g.",Russian,Hungary,1981,Budapest,Donaukommission,"131 p. ill.",Hungarian,,,,,,Budapest,
1798,"Technical University for Heavy Industry",,"Publications (C:) Machinery (34/3-4)","English; Russian; German",Hungary,1980,Miskolc,"Nehézipari Műszaki Egyetem","127-245 p. ill.",Hungarian,,"A Nehézipari Müszaki Egyetem idegennyelvü közleményei",,,,Miskolc,
1799,"Technical University for Heavy Industry",,"Publications (D:) Natural sciences (34/2)","English; German",Hungary,1980,Miskolc,"Nehézipari Műszaki Egyetem","111 p.",Hungarian,,"A Nehézipari Müszaki Egyetem idegennyelvü közleményei",,,,Miskolc,
1800,"Vincze Imre","Juhasz-Dąbrowska Emma","Międzynarodowy system walutowy RWPG (Rady Wzajemnej Pomocy Gospodarczej)",Polish,Poland,1981,Warszawa,"Państwowe Wydawnictwo Ekonomiczne","369 p. ill.",Hungarian,,"A KGST (Kölcsönös Gazdasági Segitség Tanácsa) nemzetközi valutarendszere",,,,,
1801,"Institute of Analytical Chemistry University of Chemical Engineering",,"Publications 1979-1980",English,Hungary,1980,Veszprém,"Vegyipari Egyetem","44 p.",Hungarian,,"Veszprémi Vegyipari Egyetem, Analitikai Kémia Tanszék",,,,Veszprém,
1802,"Ady Endre","Białoszewski Miron; et al.",Poezje,Polish,Poland,1981,Kraków,"Wydawnictwo Literackie","207 p.",Hungarian,,"Összes versei",,,,,
1803,"Barcsay Jenő",,"Anatomie voor de kunstenaar",Dutch,Hungary,1981,Budapest,Corvina,"312, cxli p. ill.",Hungarian,"2. ed","Müvészeti anatómia",,,,,
1804,"Csanádi Árpád","Regős Sándor","Fussball: technik, taktik, training",German,Hungary,1981,Budapest,Corvina,"679 p. ill.",Hungarian,,Labdarúgás,,,,,
1805,,"Bertalan Mme Imre; Pogány Mária",Derkovič,Russian,Hungary,1981,Budapest,Corvina,"13, 110 p. ill.",Hungarian,,"Derkovits Gyula",,,,,
1806,"Feuer-Tóth Rózsa","Fehérdy Iván","Renaissance architecture in Hungary",English,Hungary,1981,"Budapest; Budapest","M. Helikon; Corvina","241 p. ill.",Hungarian,,"Reneszánsz építészet Magyarországon",,,,,
1807,,"Szilágyi Éva; et al.","Pál Szinyei Merse","French; English",Hungary,1981,Budapest,Corvina,"22, 66 p. ill.",Hungarian,,"Szinyei Merse Pál",,,,,
1808,"Pataky-Brestyánszky Ilona",,"Kunstschätze in den Museen des Komitats Pest; Treasures of art in the museums of Pest county","German; English",Hungary,1981,Szentendre,"Révay Ny.","156 p. ill.",Hungarian,,"Műkincsek Pest megye múzeumaiban",,,,,
1809,"Perényi Imre","Scher Vera","Gorod, čelovek, okružajusaja sreda: problemy rekreacii v gradostroitel'stve",Russian,Hungary,1981,Budapest,"Akadémiai Kiadó","184 p. ill.",Hungarian,,"Város, ember környezet",,,,,
1810,"Rácz Endre","Alpári Tilda","Nowgorod, Pleskau und der russische Norden",German,Hungary,1981,Budapest,Corvina,"67, 16, 131 p. ill.",Hungarian,,"Novgorod, Pszkov és az orosz Észak",,,,,
1811,"Takács József","Kilijańczyk Agnieszka",Masaccio,Polish,Hungary,1981,Budapest,Corvina,"13, 58 p. ill.",Hungarian,,Masaccio,,,,,
1812,"Lajta Edit","Ajzatulina-Szilárd Elena","Rannija francuzskaja živopis",Russian,Hungary,1981,Budapest,Corvina,"32, 48 p.",Hungarian,"2e éd.","Korai francia festészet",,,,,
1813,"Végh János","Baranyai Hildegard","Deutsche Tafelbilder des XVI. Jahrhunderts",German,Hungary,1981,Budapest,Corvina,"39, 48 p. ill.",Hungarian,"2e éd.","XVI. századi német táblaképek",,,,,
1814,"Végh János","Horn Zsuzsanna","Sixteenth century German panel paintings",English,Hungary,1981,Budapest,Corvina,"37, 48 p. ill.",Hungarian,"2e éd.","XVI. századi német táblaképek",,,,,
1815,"Végh János","Győry János","Tableaux allemands du XVIe siècle",French,Hungary,1981,Budapest,Corvina,"39, 48, p. ill.",Hungarian,"2e éd.","XVI. századi német táblaképek",,,,,
1816,"Wehli Tünde","Halápy Lili","Painting in medieval Spain",English,Hungary,1981,Budapest,Corvina,"42, 48 p. ill.",Hungarian,,"A középkori Spanyolország festészete",,,,,
1817,"Wehli Tünde","Murris Jean-Louis","La peinture espagnole du Moyen Age",French,Hungary,1981,Budapest,Corvina,"43, 48 p. ill.",Hungarian,,"A középkori Spanyolország festészete",,,,,
1818,"Barcsay Jenő","Faragó Ádám","Anatomie für Künstler",German,Hungary,1981,Budapest,Corvina,"320, 24 p. ill.",Hungarian,"7. ed.","Müvészeti anatómia",,,,,
1819,"Bónis Ferenc","Halápy Lili","Bartók Béla: his life in pictures and documents...",English,Hungary,1981,Budapest,Corvina,"288 p. ill.",Hungarian,"2nd ed.","Bartók Béla élete képekben és dokumentumokban",,,,,
1820,"Bónis Ferenc","Harmath Anikó; Kolbe Irene","Béla Bartók: Sein Leben in Bilddokumenten...",German,Hungary,1981,Budapest,Corvina,"288 p. ill.",Hungarian,"2nd ed.","Bartók Béla élete képekben és dokumentumokban",,,,,
1821,"Bónis Ferenc","Pogan-Bertalan Maria","Žizn' Bely Bartoka v fotografjah i dokumentah",Russian,Hungary,1981,Budapest,Corvina,"288 p. ill.",Hungarian,,"Bartók Béla élete képekben és dokumentumokban",,,,,
1822,,"Mišonova N.","Budapešt v 71 cvetnoj fotografii",Russian,Hungary,1980,Budapest,Corvina,"64 p. ill.",Hungarian,,"Budapest 71 szines képpel",,,,,
1823,"Breuer János","Csaba Emese","Histoire abrégée de la vie musicale en Hongrie",French,Hungary,1981,Budapest,Corvina,"48 p. ill.",Hungarian,,,,,,,
1824,"Breuer János","Šarginoj L.","Kratkaja istorija vengerskoj muzykal'noj kul'tury",Russian,Hungary,1981,Budapest,Corvina,"48 p. ill.",Hungarian,,,,,,,
1825,"Breuer János","Szántó Tamás","Kurze Geschichte der ungarischen Musikkultur",German,Hungary,1981,Budapest,Corvina,"48 p. ill.",Hungarian,,,,,,,
1826,"Breuer János","Grusz Éva","A short history of musical life in Hungary",English,Hungary,1981,Budapest,Corvina,"48 p. ill.",Hungarian,,,,,,,
1827,"Weiner Piroska","Vargyas Kató","Moules à pain d'épice en bois sculpté",French,Hungary,1981,Budapest,Corvina,"51, 48 p. ill.",Hungarian,"2nd ed.","Faragott mézeskalácsformák",,,,,
1828,"Weiner Piroska","Gottschlig Ferenc","Geschnitze Lebkuchenmodel",German,Hungary,1981,Budapest,Corvina,"56, 48 p. ill.",Hungarian,,"Faragott mézeskalácsformák",,,,,
1829,"Weiner Piroska","Hoch Erzsébet","Carved honeycake moulds",English,Hungary,1981,Budapest,Corvina,"47, 48 p. ill.",Hungarian,"2nd ed.","Faragott mézeskalácsformák",,,,,
1830,,"Vargyas Kató; et al.",Csontváry,"French; English",Hungary,1981,Budapest,Corvina,"21, 79 p. ill.",Hungarian,"3rd. ed.",Csontváry,,,,,
1831,"Ember Mária V.","Schmör-Weichenhain Hannelore","Alte Textilien",German,Hungary,1981,"Budapest; Budapest","M. Helikon; Corvina","67, 39 p. ill.",Hungarian,,"Régi textiliák",,,,,
1832,"Ember Mária V.","Tompa Maria","Anciens textiles",French,Hungary,1981,"Budapest; Budapest","Corvina; M. Helikon","67, 78, ill.",Hungarian,,"Régi textiliák",,,,,
1833,V.,"Garami-Burger Veronika","Old textiles",English,Hungary,1981,"Budapest; Budapest","M. Helikon; Corvina","62, 78 p. ill.",Hungarian,,"Régi textiliák",,,,,
