id	author	orig_title	genre	orig_yr	orig_city	targ_lan_n	country	world	targ_title	translator	megjelenes	megjegyzes	city_n	year_n	editionstat	isPartOf	HU-minor	interm_title	interm_lang	is_container	series	db	auth_quality	transl_quality	publisher	pagination	orig_lang	isbn	kotet	city	year	targ_lan
211425	March Michael	Források:				angol	UK	NA	Description of a struggle : the Picador book of contemporary East European prose	NA	NA	NA	London	1994	NA	-2		NA	NA	TRUE	NA	it	NA	NA	Picador	xxiv,403p.	Polish; Russian; Bulgarian; Slovak; Romanian; Lithuanian; Croatian; Hungarian; Serbian; Latvian; Estonian; Czech	(ISBN: 0330330667)	NA	London	1994	angol
211426	KONRÁD György	Kerti mulatság		1987		angol	UK	NA	A feast in the garden	Goldstein Imre	NA	1987 szamizdat. 1989 átdolgozott változat	London	1992	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Faber and Faber	394p.	Hungarian	(ISBN: 0571166237)	NA	London	1992	angol
211427	BODOR Ádám	Az Eufrátesz Babilonnál		1985		angol	UK	NA	The Euphrates at Babylon	Aczel Richard	NA	NA	Edinburgh	1991	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Polygon	134p.	Hungarian	(ISBN: 0748660550)	NA	Edinburgh	1991	angol
211437	PETRI György	Források:	vers			angol	UK	NA	Night song of the personal shadow : selected poems	Gömöri George; Wilmer Clive	NA	NA	Newcastle upon Tyne	1991	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Bloodaxe	76p.	Hungarian	(ISBN: 1852241071)	NA	Newcastle upon Tyne	1991	angol
211438	ORBÁN Ottó	Források:	vers			angol	UK	NA	The blood of the Walsungs : selected poems	NA	NA	NA	Newcastle upon Tyne	1993	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Bloodaxe	94p.	Hungarian	(ISBN: 1852242035, 9631338401); (ISBN: 1852242035, 9631338401)	NA	Newcastle upon Tyne	1993	angol
211439	RAKOVSZKY Zsuzsa	Források:	vers			angol	UK	NA	New life	Szirtes George	NA	NA	Oxford	1994	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Oxford University Press	ix,54p.	Hungarian	(ISBN: 0192830899)	NA	Oxford	1994	angol
211441	RADNÓTI Miklós	Források:	vers			angol	UK	NA	Foamy sky : the major poems of Miklós Radnóti	Ozsváth Zsuzsanna; Turner Frederick	NA	NA	Oxford	1992	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Princeton University Press	xlviii, 128p.	Hungarian	(ISBN: 0691015309, 0691069549); (ISBN: 0691015309, 0691069549)	NA	Oxford	1992	angol
211442	KOSZTOLÁNYI Dezső	Pacsirta		1924		angol	UK	NA	Skylark	Aczel Richard	NA	NA	London	1993	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Chatto & Windus	xv,224p.	Hungarian	(ISBN: 0701144734)	NA	London	1993	angol
211443	KOSZTOLÁNYI Dezső	Édes Anna		1926		angol	UK	NA	Anna Édes	Szirtes George	NA	NA	London	1991	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Quartet	xi,220p.	Hungarian	(ISBN: 0704301504)	NA	London	1991	angol
211444	ESTERHÁZY Péter	A szív segédigéi		1985		angol	UK	NA	Helping verbs of the heart	Heim Michael Henry	NA	NA	London	1992	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Quartet	xii,111p.	Hungarian	(ISBN: 0704301741)	NA	London	1992	angol
211445	ESTERHÁZY Péter	Hrabal könyve		1990		angol	UK	NA	The book of Hrabal	Sollosy Judith	NA	NA	London	1993	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Quartet	168p.	Hungarian	(ISBN: 0704370646)	NA	London	1993	angol
211448	GÖNCZ Árpád	Források:				angol	UK	NA	Plays and other writings	Wilson Christopher C.; Wilson Katharina M.	NA	NA	London	1990	NA	-3		NA	NA	FALSE	NA	it	NA	NA	Garland	258p.	Hungarian	NA	NA	London	1990	angol
211454	Martin John	NA				angol	Canada	NA	Shouldering fate	Vitalis Esther	NA	NA	Guelph, ONT	2007	NA	NA		NA	NA	FALSE	NA	it	NA	NA	J. Martin	iv, 385 p., ill., facsims.	Hungarian	(ISBN: 9780980905106)	NA	Guelph, ONT	2007	angol
211457	SZERB Antal	A Pendragon legenda		1934	Budapest	finn	Finland	NA	Pendragonin legenda	Huotari Juhani	NA	NA	Jyväskylä	2008	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Atena	282 s.	Hungarian	(ISBN: 978-951-796-513-2)	NA	Jyväskylä	2008	finn
211459	DRAGOMÁN György	A fehér király		2005	Budapest	finn	Finland	NA	Valkoinen kuningas	Hassi Outi	NA	NA	Helsinki	2008	NA	NA		NA	NA	FALSE	NA	it	NA	NA	Otava	265 s.	Hungarian	(ISBN: 978-951-1-22101-2)	NA	Helsingissä	2008	finn
