author,region1,region2
KÖRMENDI Ferenc,Argentina,UK
MOLNÁR Ferenc,Argentina,UK
KACZÉR Illés,Argentina,UK
JÓZSEF Attila,Argentina,UK
DÉRY Tibor,Argentina,UK
KÖRMENDI Ferenc,Argentina,USA
MOLNÁR Ferenc,Argentina,USA
KACZÉR Illés,Argentina,USA
JÓZSEF Attila,Argentina,USA
DÉRY Tibor,Argentina,USA
JÓKAI Mór,Argentina,USSR-azerbajdzsán
DÉRY Tibor,Argentina,USSR-fehérorosz
JÓKAI Mór,Argentina,USSR-grúz
MOLNÁR Ferenc,Argentina,USSR-grúz
DÉRY Tibor,Argentina,USSR-grúz
JÓKAI Mór,Argentina,USSR-lett
JÓZSEF Attila,Argentina,USSR-lett
JÓKAI Mór,Argentina,USSR-litván
MOLNÁR Ferenc,Argentina,USSR-litván
DÉRY Tibor,Argentina,USSR-litván
MOLNÁR Ferenc,Argentina,USSR-moldva
DÉRY Tibor,Argentina,USSR-moldva
JÓKAI Mór,Argentina,USSR-orosz
MOLNÁR Ferenc,Argentina,USSR-orosz
JÓZSEF Attila,Argentina,USSR-orosz
DÉRY Tibor,Argentina,USSR-orosz
JÓKAI Mór,Argentina,USSR-tadzsik
JÓKAI Mór,Argentina,USSR-türkmén
JÓKAI Mór,Argentina,USSR-ukrán
MOLNÁR Ferenc,Argentina,USSR-ukrán
JÓZSEF Attila,Argentina,USSR-ukrán
JÓKAI Mór,Argentina,USSR-észt
MOLNÁR Ferenc,Argentina,USSR-észt
DÉRY Tibor,Argentina,USSR-észt
JÓKAI Mór,Argentina,USSR-örmény
MOLNÁR Ferenc,Argentina,USSR-örmény
JÓZSEF Attila,Argentina,Vietnam
JÓKAI Mór,Argentina,Yugoslavia
MOLNÁR Ferenc,Argentina,Yugoslavia
JÓZSEF Attila,Argentina,Yugoslavia
DÉRY Tibor,Argentina,Yugoslavia
MADÁCH Imre,Australia,Australia
MADÁCH Imre,Australia,Czechoslovakia-cseh
MADÁCH Imre,Australia,Czechoslovakia-szlovák
MADÁCH Imre,Australia,Hungary
MADÁCH Imre,Australia,Italy
MADÁCH Imre,Australia,Japan
MADÁCH Imre,Australia,Norway
MADÁCH Imre,Australia,Poland
MADÁCH Imre,Australia,Romania
MADÁCH Imre,Australia,Turkey
MADÁCH Imre,Australia,USA
MADÁCH Imre,Australia,USSR-grúz
MADÁCH Imre,Australia,USSR-orosz
MADÁCH Imre,Australia,USSR-ukrán
BALÁZS Béla,Austria,Austria
BÓKA László,Austria,Austria
DÉRY Tibor,Austria,Austria
FEKETE István,Austria,Austria
HÁY Gyula,Austria,Austria
HOLLÓS KORVIN Lajos,Austria,Austria
ILLÉS Béla,Austria,Austria
KOVAI Lőrinc,Austria,Austria
MIKSZÁTH Kálmán,Austria,Austria
ÖRKÉNY István,Austria,Austria
SZABÓ Pál,Austria,Austria
VASZARY Gábor,Austria,Austria
ZILAHY Lajos,Austria,Austria
PASSUTH László,Austria,Austria
GÁRDONYI Géza,Austria,Austria
KÖRMENDI Ferenc,Austria,Austria
KRÚDY Gyula,Austria,Austria
FEJES Endre,Austria,Austria
SZÁNTÓ György,Austria,Austria
G. SZABÓ Judit,Austria,Austria
SZÁSZ Imre,Austria,Austria
ILLYÉS Gyula,Austria,Austria
PETŐFI Sándor,Austria,Austria
PILINSZKY János,Austria,Austria
MIKES Kelemen,Austria,Austria
MOLNÁR Ferenc,Austria,Austria
ADY Endre,Austria,Austria
DÉRY Tibor,Austria,Belgium
FEKETE István,Austria,Belgium
MIKSZÁTH Kálmán,Austria,Belgium
PASSUTH László,Austria,Belgium
GÁRDONYI Géza,Austria,Belgium
KÖRMENDI Ferenc,Austria,Belgium
FEJES Endre,Austria,Belgium
MOLNÁR Ferenc,Austria,Belgium
PASSUTH László,Austria,Brasil
KÖRMENDI Ferenc,Austria,Brasil
MOLNÁR Ferenc,Austria,Brasil
DÉRY Tibor,Austria,Bulgaria
FEKETE István,Austria,Bulgaria
ILLÉS Béla,Austria,Bulgaria
MIKSZÁTH Kálmán,Austria,Bulgaria
ÖRKÉNY István,Austria,Bulgaria
SZABÓ Pál,Austria,Bulgaria
VASZARY Gábor,Austria,Bulgaria
ZILAHY Lajos,Austria,Bulgaria
GÁRDONYI Géza,Austria,Bulgaria
KRÚDY Gyula,Austria,Bulgaria
SZÁSZ Imre,Austria,Bulgaria
ILLYÉS Gyula,Austria,Bulgaria
PETŐFI Sándor,Austria,Bulgaria
MOLNÁR Ferenc,Austria,Bulgaria
HÁY Gyula,Austria,Canada
ILLÉS Béla,Austria,Chile
ZILAHY Lajos,Austria,Chile
MOLNÁR Ferenc,Austria,Colombia
GÁRDONYI Géza,Austria,Cuba
PETŐFI Sándor,Austria,Cuba
BÓKA László,Austria,Czechoslovakia-cseh
DÉRY Tibor,Austria,Czechoslovakia-cseh
HÁY Gyula,Austria,Czechoslovakia-cseh
ILLÉS Béla,Austria,Czechoslovakia-cseh
MIKSZÁTH Kálmán,Austria,Czechoslovakia-cseh
ÖRKÉNY István,Austria,Czechoslovakia-cseh
SZABÓ Pál,Austria,Czechoslovakia-cseh
PASSUTH László,Austria,Czechoslovakia-cseh
GÁRDONYI Géza,Austria,Czechoslovakia-cseh
KÖRMENDI Ferenc,Austria,Czechoslovakia-cseh
KRÚDY Gyula,Austria,Czechoslovakia-cseh
FEJES Endre,Austria,Czechoslovakia-cseh
SZÁNTÓ György,Austria,Czechoslovakia-cseh
ILLYÉS Gyula,Austria,Czechoslovakia-cseh
PETŐFI Sándor,Austria,Czechoslovakia-cseh
MOLNÁR Ferenc,Austria,Czechoslovakia-cseh
ADY Endre,Austria,Czechoslovakia-cseh
BALÁZS Béla,Austria,Czechoslovakia-szlovák
DÉRY Tibor,Austria,Czechoslovakia-szlovák
FEKETE István,Austria,Czechoslovakia-szlovák
HÁY Gyula,Austria,Czechoslovakia-szlovák
ILLÉS Béla,Austria,Czechoslovakia-szlovák
MIKSZÁTH Kálmán,Austria,Czechoslovakia-szlovák
ÖRKÉNY István,Austria,Czechoslovakia-szlovák
SZABÓ Pál,Austria,Czechoslovakia-szlovák
PASSUTH László,Austria,Czechoslovakia-szlovák
GÁRDONYI Géza,Austria,Czechoslovakia-szlovák
KRÚDY Gyula,Austria,Czechoslovakia-szlovák
FEJES Endre,Austria,Czechoslovakia-szlovák
ILLYÉS Gyula,Austria,Czechoslovakia-szlovák
PETŐFI Sándor,Austria,Czechoslovakia-szlovák
MOLNÁR Ferenc,Austria,Czechoslovakia-szlovák
ADY Endre,Austria,Czechoslovakia-szlovák
DÉRY Tibor,Austria,Denmark
VASZARY Gábor,Austria,Denmark
ZILAHY Lajos,Austria,Denmark
ÖRKÉNY István,Austria,Egypt
VASZARY Gábor,Austria,Egypt
PETŐFI Sándor,Austria,Egypt
BALÁZS Béla,Austria,Federal Republic of Germany
DÉRY Tibor,Austria,Federal Republic of Germany
FEKETE István,Austria,Federal Republic of Germany
HÁY Gyula,Austria,Federal Republic of Germany
MIKSZÁTH Kálmán,Austria,Federal Republic of Germany
